31.0, 37, 1139.52, 67.85
31.0, 27, 242.33, 369.03
31.0, 25, 676.74, 140.70
31.0, 23, 1215.94, 441.29
31.0, 18, 404.05, 260.45
31.0, 16, 485.39, 156.54
31.0, 13, 1227.94, 175.07
31.0, 12, 785.36, 320.52
31.0, 11, 523.66, 283.50
31.0, 9, 90.15, 613.25
31.0, 8, 635.30, 193.18
31.0, 7, 1022.22, 326.83
31.0, 6, 767.43, 585.75
31.0, 5, 895.54, 523.22
31.0, 4, 74.62, 120.81
31.0, 3, 176.55, 410.93
31.0, 2, 475.11, 392.33
31.0, 1, 1033.22, 437.24
32.0, 40, 790.24, 104.78
32.0, 37, 1139.87, 68.29
32.0, 27, 243.99, 369.88
32.0, 25, 676.92, 142.64
32.0, 23, 1214.74, 439.01
32.0, 18, 404.36, 261.20
32.0, 16, 485.45, 156.12
32.0, 13, 1228.72, 176.74
32.0, 12, 786.22, 318.28
32.0, 11, 523.52, 281.69
32.0, 9, 91.28, 615.55
32.0, 8, 635.14, 195.75
32.0, 7, 1024.09, 329.64
32.0, 6, 766.47, 581.31
32.0, 5, 892.91, 525.95
32.0, 4, 74.60, 120.79
32.0, 3, 176.74, 411.74
32.0, 2, 474.94, 389.34
32.0, 1, 1033.94, 438.21
33.0, 37, 1140.17, 69.13
33.0, 27, 242.62, 369.53
33.0, 25, 677.41, 144.55
33.0, 23, 1213.90, 434.11
33.0, 18, 404.53, 262.28
33.0, 16, 485.25, 154.83
33.0, 13, 1229.69, 179.54
33.0, 12, 786.69, 315.09
33.0, 11, 524.27, 279.57
33.0, 9, 94.19, 620.26
33.0, 8, 634.62, 197.39
33.0, 7, 1026.50, 333.60
33.0, 6, 765.49, 574.51
33.0, 5, 888.02, 529.80
33.0, 4, 74.61, 120.94
33.0, 3, 176.16, 415.30
33.0, 2, 475.63, 385.91
33.0, 1, 1035.84, 441.54
34.0, 37, 1140.48, 69.27
34.0, 27, 242.22, 369.50
34.0, 25, 677.38, 146.38
34.0, 23, 1213.20, 430.64
34.0, 18, 404.74, 263.36
34.0, 16, 486.01, 155.14
34.0, 13, 1230.35, 180.92
34.0, 12, 787.23, 313.68
34.0, 11, 524.59, 278.03
34.0, 9, 96.58, 623.49
34.0, 8, 634.20, 198.77
34.0, 7, 1027.98, 337.72
34.0, 6, 764.64, 569.34
34.0, 5, 883.82, 531.77
34.0, 4, 74.63, 120.95
34.0, 3, 175.93, 418.87
34.0, 2, 476.04, 384.13
34.0, 1, 1037.04, 446.45
35.0, 42, 1180.66, 123.44
35.0, 37, 1140.79, 69.69
35.0, 27, 242.10, 369.67
35.0, 25, 677.41, 148.07
